turn,n,input_tokens_p25,input_tokens_p50,input_tokens_p75,cum_input_tokens_p25,cum_input_tokens_p50,cum_input_tokens_p75,history_share_cum_p25,history_share_cum_p50,history_share_cum_p75,history_share_turn_p25,history_share_turn_p50,history_share_turn_p75,repeat_share_cum_p25,repeat_share_cum_p50,repeat_share_cum_p75,relative_cost_vs_turn1_p25,relative_cost_vs_turn1_p50,relative_cost_vs_turn1_p75
11,134,949.25,2247.0,5854.5,5549.75,12991.5,32924.5,0.9228556080385799,0.9696820143985665,0.9901542143569733,0.9603598884694944,0.9856421082549697,0.9963680282442378,0.8079716310082181,0.8239981253099102,0.8344860069248264,22.454971857410882,61.97520661157024,144.27694071405176
12,134,1078.0,2534.5,6480.25,6584.25,15655.0,39448.25,0.9307873231748987,0.9729622585465535,0.9915066420329669,0.9729278614423099,0.9886018709808344,0.9969486467464774,0.8241986675223923,0.8373125993917425,0.8471159254567547,23.30300187617261,67.67900826446281,159.296875
13,134,1208.0,2849.0,7086.0,7742.0,18633.5,46627.75,0.9387834575943098,0.9754401627531443,0.9923733268459247,0.9677393535558678,0.9875606324819731,0.9968475675514366,0.8385945724436479,0.8490406922480309,0.8574057843996494,25.870217391304347,73.54722550177095,176.1391369047619
14,134,1296.5,3032.5,7547.75,8968.0,21991.0,54134.0,0.9428989542783027,0.9769241180266105,0.9929400856988306,0.9724968766319695,0.9890470742649625,0.997201757615403,0.8501521386843773,0.8599144030590532,0.8657061821661107,27.411594202898552,80.1888888888889,191.25396825396825
15,134,1389.25,3173.0,8260.75,10329.75,24971.0,62756.75,0.9455670988169724,0.9782962476326369,0.9934044018576478,0.9746732260415547,0.98955404337452,0.9977687430804546,0.8615462278154308,0.8692519523357769,0.8754023806786327,28.505434782608695,86.37514757969304,205.02563052735016
16,134,1439.75,3479.0,8853.0,11736.75,28327.0,72174.0,0.9500471032099609,0.9799322800552748,0.9937799869562032,0.9726939787917631,0.9899049799872233,0.9974300966805061,0.8699329389073599,0.8772672217539934,0.8835108824283195,30.20780051150895,94.63444444444444,221.17633928571428
17,134,1535.5,3607.5,9405.75,13331.25,31731.5,81780.0,0.9542712140880979,0.9811600294571281,0.9941993316645661,0.9753554796329634,0.9903240609699937,0.9976234242036015,0.8765806372740774,0.8839916874927749,0.8902250364157858,31.531116794543905,98.4306375442739,238.68088235294118
18,134,1679.5,3700.0,9914.0,14997.5,35302.0,91526.75,0.9582693345830904,0.9821848706613847,0.9942392623530999,0.9793660567675346,0.992168585864756,0.9978793700839121,0.884322805712922,0.8910547200323745,0.8974849466365831,32.724877450980394,105.63075560802834,258.03822055137846
19,134,1743.0,3999.5,10447.25,16876.0,38905.0,101949.0,0.9609235402391174,0.9823443222333343,0.994684966199521,0.979210687047179,0.9923927562906012,0.9978412300855617,0.8905930895279385,0.896793009361186,0.9027949072341254,34.176683716965044,110.10020661157026,277.034649122807
20,134,1821.0,4102.5,11176.5,18929.25,42933.0,113120.5,0.9618943473393116,0.9827865608114785,0.9950792206420865,0.9807304231484184,0.992800642689408,0.9980332763451705,0.8965562488519834,0.9018078368643921,0.9076592032111308,35.98124467178175,114.20402892561984,290.41534181240064
21,134,1933.75,4612.0,11920.0,21114.25,47484.0,125133.25,0.9642769750519136,0.9832489031963154,0.9954558130857948,0.9835148231489105,0.9933357001952661,0.9980647529354975,0.9005075596015861,0.9062822037594622,0.911509003237408,40.73259303721488,122.50550964187327,310.2484126984127
22,134,2037.5,4802.0,12470.0,23395.5,52561.0,137181.75,0.965100383627199,0.9843329946660074,0.9957654487443686,0.9807695913010873,0.9933476270521806,0.9983453136844317,0.9048402318754807,0.9104167556508108,0.9154590794159447,43.41122448979592,128.5774249673771,335.77065826330534
23,134,2111.75,4941.5,13047.0,25715.5,57781.5,150339.25,0.9648283613417944,0.9850774423653754,0.9958699369956043,0.9830450747938433,0.9949782288694888,0.9981986326019272,0.9092684087100457,0.914155405565586,0.9183965897296024,46.239115646258504,132.91408268733852,356.19894957983195
24,134,2208.0,5183.0,13737.75,27967.75,63258.0,163844.5,0.9663836558556747,0.9857521968171874,0.9961882827508357,0.982283284540968,0.9943741524949801,0.9984851747185215,0.9129546267211975,0.917530062508052,0.9211526658467568,49.29761904761905,138.02403100775194,378.74285714285713
25,134,2303.75,5405.5,14243.75,30469.5,68907.0,178549.5,0.9686666698872981,0.9864963185991288,0.9964322918363067,0.9852017295347115,0.994541167493336,0.9987742044414177,0.9165378762842838,0.9202859190562376,0.9238846777406043,52.25561224489796,143.2325581395349,395.57457983193274
26,134,2424.5,5649.5,14723.5,32985.25,74556.5,192835.75,0.9707189793952533,0.9870715202040911,0.9965612909298436,0.985262701962745,0.994760593736323,0.9986591018286854,0.9194606803953194,0.9234874944563989,0.9268759417246697,56.50051020408163,146.44418604651162,408.6268907563025
27,134,2514.5,5798.5,15286.25,35359.75,80355.0,206725.25,0.9725617697868791,0.9870918394184229,0.996658066112692,0.9872347374628426,0.9951118304980305,0.9988732008356679,0.9222534599305783,0.9267865711749532,0.9293553901997916,58.88260869565217,150.26589147286822,420.42605042016805
28,134,2649.75,5996.5,15836.0,37732.25,86351.5,222673.75,0.9740934986551659,0.9877398740816168,0.9967465332037284,0.9852166665303566,0.9950403715623966,0.9989178486271806,0.9251886495661925,0.9292643262618008,0.9317296759910143,61.65698160535117,154.45271317829457,439.37380952380954
29,134,2760.75,6260.0,16731.75,40265.5,92611.5,239877.0,0.9752823557741137,0.9881295339248617,0.9968171725424626,0.982151953833426,0.995197887844776,0.9988839819794975,0.9277176478990204,0.931528085567427,0.934003391036313,64.24134615384615,160.43589743589743,458.1357142857143
30,134,2865.25,6610.5,17442.75,43475.0,99222.0,257065.75,0.9757363315101898,0.9883586641971727,0.9969803442096661,0.9877880380539577,0.99501756069544,0.9987841078649757,0.9299552135348308,0.9339118213794425,0.9362932900955419,67.25096153846154,171.55234159779616,473.94812030075184
